Place,Latitude,Longitude,Distance_to_Next_km
Bokwai Garage,4.16834,9.26806,0.064
Njie Monkangais Home Entrance,4.16864,9.26855,0.092
Bethel Residential Complex Entrance,4.16898,9.26931,0.115
Buea Bokwai Road QC5,4.16935,9.27028,0.103
N Media,4.16971,9.27114,0.141
Wazu,4.17021,9.27231,0.079
Bokwai Antenna,4.17044,9.27298,0.174
Nkolo Shop,4.17097,9.27446,0.084
Flavours Food By Audrey,4.17124,9.27517,0.173
Eu's Enterprise,4.17146,9.27671,0.121
DOGi Innovation,4.1716,9.27779,0.068
Roundabout (Central Market),4.17168,9.2784,0.164
All Good Home Enhancement,4.17023,9.27868,0.033
Pinorich,4.16994,9.27872,0.101
Bebeta Memorial Community Clinic,4.16905,9.2789,0.115
Warsaw Palace,4.16804,9.27912,0.109
Lida Groups,4.16707,9.27929,0.02
Ma Dor's Bar,4.16689,9.27932,0.024
Saint Luke Hospital Junction,4.16668,9.27937,0.062
Hexagon,4.16613,9.27948,0.016
Remi Molyko Junction,4.16599,9.27949,0.039
Prime Roofing Solution,4.16565,9.27958,0.023
Hotel Yanze,4.16545,9.27962,0.024
Yahweh Enterprise,4.16524,9.27965,0.028
Sarah Etonge Foundation,4.16499,9.2797,0.016
Deluxe Mansion Junction,4.16485,9.27971,0.014
JN Store,4.16473,9.27974,0.019
Blue Empire Hotel,4.16456,9.27977,0.136
Behind Molyko Stadium (Checkpoint),4.16336,9.28,0.057
Itambi Studios,4.16286,9.2801,0.105
New Taste Snack,4.16194,9.28031,0.051
Terence Enterprise,4.16149,9.28039,0.034
HUIB Junction1,4.16119,9.28045,0.082
Chinese Cite,4.16135,9.28117,0.078
Garden of Life Church,4.1615,9.28186,0.077
LUKMEF,4.16165,9.28254,0.09
Hannah's Wig,4.16191,9.28331,0.056
HUIB Junction2,4.16197,9.28381,0.054
HUIB Campus B,4.16244,9.28368,
